EMPLOYEE_CODE,FIRST_NAME,FIRST_NAME_MB,LAST_NAME,LAST_NAME_MB,DATE_HIRED,TERMINATION_DATE,TERMINATION_CODE,BIRTH_DATE,GENDER_CODE,WORK_PHONE,EXTENSION,FAX,EMAIL,SSN,COMMUTE_TIME
10017,Fritz,Fritz,Hirsch,Hirsch,2017-12-20 00:00:00.0,0001-01-01 00:00:00.0,150,1976-04-05 00:00:00.0,0,+(49) 89 882 3456,3982,+(49) 89 882 3455,FHirsch@grtd123.com,247-40-6507,34
10018,Jörg,Jörg,Kunze,Kunze,2016-02-18 00:00:00.0,0001-01-01 00:00:00.0,150,1962-02-11 00:00:00.0,0,+(49) 89 882 3456,3981,+(49) 89 882 3455,JKunze@grtd123.com,456-44-1253,14
10019,Silvano,Silvano,Allessori,Allessori,2019-06-27 00:00:00.0,0001-01-01 00:00:00.0,150,1989-02-17 00:00:00.0,0,+(39) 02 79 53 780,7980,+(39) 02 79 53 477,SAllessori@grtd123.com,787-66-2430,26
10020,Maria,Maria,Iacobucci,Iacobucci,2015-03-25 00:00:00.0,0001-01-01 00:00:00.0,150,1973-07-11 00:00:00.0,1,+(39) 02 79 53 780,7979,+(39) 02 79 53 477,MIacobucci@grtd123.com,440-40-8897,34
10021,Alessandra,Alessandra,Torta,Torta,2016-12-15 00:00:00.0,0001-01-01 00:00:00.0,150,1971-09-25 00:00:00.0,1,+(39) 02 79 53 780,7978,+(39) 02 79 53 477,ATorta@grtd123.com,754-40-5727,32
10022,Belinda,Belinda,Jansen-Velasquez,Jansen-Velasquez,2016-08-01 00:00:00.0,0001-01-01 00:00:00.0,150,1993-06-28 00:00:00.0,1,+31 (0)20 692 93 94,6977,+31 (0)20 692 93 06,BJansen-Velasquez@grtd123.com,196-82-0685,7
10023,Ellen,Ellen,Shapiro,Shapiro,2015-09-09 00:00:00.0,0001-01-01 00:00:00.0,150,1982-09-03 00:00:00.0,1,+31 (0)20 692 93 94,6976,+31 (0)20 692 93 06,EShapiro@grtd123.com,886-33-8871,23
10024,Jan,Jan,Haverkamp,Haverkamp,2018-04-13 00:00:00.0,0001-01-01 00:00:00.0,150,1995-01-26 00:00:00.0,0,+31 (0)20 692 93 94,6975,+31 (0)20 692 93 06,JHaverkamp@grtd123.com,826-89-1118,24
10025,Kick,Kick,Kalkman,Kalkman,2016-03-31 00:00:00.0,0001-01-01 00:00:00.0,150,1976-03-07 00:00:00.0,0,+31 (0)20 692 93 94,6974,+31 (0)20 692 93 06,KKalkman@grtd123.com,625-60-4005,28
10085,Akemi,明美,Yamada,山田,2014-06-19 00:00:00.0,0001-01-01 00:00:00.0,150,1988-04-17 00:00:00.0,1,81-3-6259-6601,8914,81-3-6208-4445,AYamada@grtd123.com,387-34-8120,24
10087,Kazumi,和美,Uragome,裏込,2015-10-02 00:00:00.0,0001-01-01 00:00:00.0,150,1969-02-19 00:00:00.0,1,81-6-616-5656,8912,81-6-616-5657,KUragome@grtd123.com,539-92-0259,28
10088,Masuzo,益三,Kakui,角井,2016-07-29 00:00:00.0,0001-01-01 00:00:00.0,150,1981-01-07 00:00:00.0,0,81-6-616-5656,8911,81-6-616-5657,MKakui@grtd123.com,231-02-8834,21
10089,Alice,Alice,Walter,Walter,2018-02-25 00:00:00.0,0001-01-01 00:00:00.0,150,1979-11-01 00:00:00.0,1,+(61) 03 2982  4242,8910,+(61) 03 2982  4243,AWalter@grtd123.com,432-14-5076,23
10090,Dave,Dave,Smythe,Smythe,2018-08-04 00:00:00.0,0001-01-01 00:00:00.0,150,1990-09-22 00:00:00.0,0,+(61) 03 2982  4242,8909,+(61) 03 2982  4243,DSmythe@grtd123.com,180-57-2690,31
10091,Donald,Donald,Ward,Ward,2018-01-06 00:00:00.0,0001-01-01 00:00:00.0,150,1981-10-14 00:00:00.0,0,+(61) 03 2982  4242,8908,+(61) 03 2982  4243,DWard@grtd123.com,786-76-4068,19
10092,Jake,Jake,Cartel,Cartel,2018-08-12 00:00:00.0,0001-01-01 00:00:00.0,150,1983-11-30 00:00:00.0,0,+(61) 03 2982  4242,8907,+(61) 03 2982  4243,JCartel@grtd123.com,599-38-2742,20
10093,John,John,Sinden,Sinden,2019-04-25 00:00:00.0,0001-01-01 00:00:00.0,150,1984-03-31 00:00:00.0,0,+(61) 03 2982  4242,8906,+(61) 03 2982  4243,JSinden@grtd123.com,248-47-7337,33
10094,Yolanda,Yolanda,Torres,Torres,2016-02-10 00:00:00.0,0001-01-01 00:00:00.0,150,1966-12-16 00:00:00.0,1,+35 94 322 3540,7905,+35 91 548 1637,YTorres@grtd123.com,724-34-7657,8
10122,Joseph,Joseph,Chouteau,Chouteau,2018-01-07 00:00:00.0,0001-01-01 00:00:00.0,150,1983-05-17 00:00:00.0,0,+32 16 20.73.21,3877,+32 16 20.73.32,JChouteau@grtd123.com,567-99-4638,27
10123,Willi,Willi,Seefelder,Seefelder,2018-06-22 00:00:00.0,0001-01-01 00:00:00.0,150,1984-05-23 00:00:00.0,0,+(43) 13 79 56 32,7876,+(43) 13 79 56 33,WSeefelder@grtd123.com,476-03-1662,23
10124,Sabine,Sabine,Grüner,Grüner,2016-12-02 00:00:00.0,0001-01-01 00:00:00.0,150,1973-07-01 00:00:00.0,1,+(43) 13 79 56 32,7875,+(43) 13 79 56 33,SGruner@grtd123.com,823-07-9566,14
10125,Laura,Laura,Bauer,Bauer,2009-08-20 00:00:00.0,0001-01-01 00:00:00.0,150,1969-04-13 00:00:00.0,1,1 (403) 232-5986,2874,1 (403) 232-5831,LBauer@grtd123.com,051-63-1515,13
10126,Dagmar,Dagmar,Samuelsen,Samuelsen,2010-12-26 00:00:00.0,0001-01-01 00:00:00.0,150,1978-09-16 00:00:00.0,0,1 (403) 232-5986,2873,1 (403) 232-5831,DSamuelsen@grtd123.com,110-63-0476,6
10127,Cirineo,Cirineo,Sanchez,Sanchez,2018-12-12 00:00:00.0,0001-01-01 00:00:00.0,150,1998-08-19 00:00:00.0,0,1 (305) 557-4810,2872,1 (305) 557-7650,CSanchez@grtd123.com,261-41-6016,26
10128,Gepetto,Gepetto,Perez,Perez,2016-07-29 00:00:00.0,0001-01-01 00:00:00.0,150,1966-05-05 00:00:00.0,0,+(525) 549 6090,2871,+(52) 549 6088,GPerez@grtd123.com,373-65-3719,26
10129,Pascal,Pascal,Lanuit,Lanuit,2014-04-05 00:00:00.0,0001-01-01 00:00:00.0,150,1986-08-13 00:00:00.0,0,1 (403) 232-5986,2870,1 (403) 232-5831,PLanuit@grtd123.com,844-33-1298,23
10130,Aron,Aron,Adelsvärd,Adelsvärd,2014-09-28 00:00:00.0,0001-01-01 00:00:00.0,150,1973-06-03 00:00:00.0,0,+(46) 08 753 116,6869,+(46) 08 752 592,AAdelsvard@grtd123.com,366-50-0852,44
10158,Johann,Johann,Wagner,Wagner,2018-03-04 00:00:00.0,0001-01-01 00:00:00.0,150,1983-12-03 00:00:00.0,0,+(41) 17 12 13 14,3841,+(41) 17 12 13 20,JWagner@grtd123.com,078-19-7111,34
10159,Isaac,Isaac,Brule,Brule,2019-03-01 00:00:00.0,0001-01-01 00:00:00.0,150,1983-07-25 00:00:00.0,0,+(41) 17 12 13 14,3840,+(41) 17 12 13 20,IBrule@grtd123.com,367-28-6576,22
10160,Jacques,Jacques,Burel,Burel,2019-05-29 00:00:00.0,0001-01-01 00:00:00.0,150,1989-12-20 00:00:00.0,0,+32 16 20.73.21,3839,+32 16 20.73.32,JBurel@grtd123.com,246-66-9708,17
10161,Yvette,Yvette,Lattrez,Lattrez,2020-05-14 00:00:00.0,0001-01-01 00:00:00.0,150,1983-07-14 00:00:00.0,1,+(41) 17 12 13 14,3838,+(41) 17 12 13 20,YLattrez@grtd123.com,876-94-2945,9
10162,Jules,Jules,Dauphin,Dauphin,2015-10-14 00:00:00.0,0001-01-01 00:00:00.0,150,1987-07-29 00:00:00.0,0,+33 1 68 94 52 20,3837,+33 1 68 94 56 60,JDauphin@grtd123.com,713-73-1770,26
10163,Friedrich,Friedrich,Bauer,Bauer,2020-04-27 00:00:00.0,0001-01-01 00:00:00.0,150,1982-10-24 00:00:00.0,0,+(41) 17 12 13 14,3836,+(41) 17 12 13 20,FBauer@grtd123.com,301-85-3354,32
10164,Michel,Michel,Labasilier,Labasilier,2017-05-03 00:00:00.0,0001-01-01 00:00:00.0,150,1995-12-27 00:00:00.0,0,+33 4 52 26 33 88,3835,+33 4 66 35 98 95,MLabasilier@grtd123.com,519-32-3920,26
