EMPLOYEE_HISTORY_CODE,EMPLOYEE_HISTORY_PARENT,EMPLOYEE_CODE,RECORD_START_DATE,RECORD_END_DATE,POSITION_CODE,POSITION_START_DATE,MANAGER_CODE,MANAGER,MANAGER_MB,BRANCH_CODE,ORGANIZATION_CODE
30000,30126,10004,2014-12-11 00:00:00.0,,4500,2014-12-11 00:00:00.0,10149,Dietz Krieger,Dietz Krieger,6,6810
30001,30058,10005,2016-11-24 00:00:00.0,,5700,2016-11-24 00:00:00.0,10078,Frédéric Samson,Frédéric Samson,6,006
30002,30058,10006,2019-05-10 00:00:00.0,,5500,2019-05-10 00:00:00.0,10078,Frédéric Samson,Frédéric Samson,6,006
30003,30058,10007,2016-10-09 00:00:00.0,,5600,2016-10-09 00:00:00.0,10078,Frédéric Samson,Frédéric Samson,6,006
30004,30005,10012,2018-03-22 00:00:00.0,,5400,2018-03-22 00:00:00.0,10013,Else Mörike,Else Mörike,13,013
30005,30438,10013,2013-11-07 00:00:00.0,,5300,2013-11-07 00:00:00.0,10461,Barbara Samuelsen,Barbara Samuelsen,13,6800
30006,30028,10014,2016-05-12 00:00:00.0,,5700,2016-05-12 00:00:00.0,10048,Georges Saint-Germain,Georges Saint-Germain,17,017
30007,30004,10015,2020-04-18 00:00:00.0,,5600,2020-04-18 00:00:00.0,10012,Elsbeth Wiesinger,Elsbeth Wiesinger,13,013
30956,30667,10016,2017-07-13 00:00:00.0,2017-12-19 00:00:00.0,5700,2017-07-13 00:00:00.0,10701,Gretchen Goetschy,Gretchen Goetschy,14,014
30008,30009,10016,2017-12-20 00:00:00.0,,5700,2017-07-13 00:00:00.0,10017,Fritz Hirsch,Fritz Hirsch,14,014
30009,30005,10017,2017-12-20 00:00:00.0,,5400,2017-12-20 00:00:00.0,10013,Else Mörike,Else Mörike,14,014
30010,30000,10018,2016-02-18 00:00:00.0,,4600,2016-02-18 00:00:00.0,10004,Denis Pagé,Denis Pagé,14,6810
30011,30012,10019,2019-06-27 00:00:00.0,,5600,2019-06-27 00:00:00.0,10020,Maria Iacobucci,Maria Iacobucci,7,007
30938,30655,10020,2015-03-25 00:00:00.0,2018-04-04 00:00:00.0,5400,2015-03-25 00:00:00.0,10689,Derek Hirsch,Derek Hirsch,7,007
30012,30462,10020,2018-04-05 00:00:00.0,,5400,2015-03-25 00:00:00.0,10486,Fabian Tibor,Fabian Tibor,7,007
30013,30012,10021,2016-12-15 00:00:00.0,,5700,2016-12-15 00:00:00.0,10020,Maria Iacobucci,Maria Iacobucci,7,007
30014,30017,10022,2016-08-01 00:00:00.0,,5700,2016-08-01 00:00:00.0,10025,Kick Kalkman,Kick Kalkman,9,009
30015,30017,10023,2016-03-31 00:00:00.0,,5600,2015-09-09 00:00:00.0,10025,Kick Kalkman,Kick Kalkman,9,009
31010,30639,10024,2018-04-13 00:00:00.0,2019-09-03 00:00:00.0,5100,2018-04-13 00:00:00.0,10673,Ariaantje Dirchs,Ariaantje Dirchs,9,5820
30016,30246,10024,2019-09-04 00:00:00.0,,5100,2018-04-13 00:00:00.0,10269,Geesje Herbert,Geesje Herbert,9,5820
30826,30645,10025,2016-03-31 00:00:00.0,2020-07-01 00:00:00.0,5400,2016-03-31 00:00:00.0,10679,Katrine Lagerfelt,Katrine Lagerfelt,9,009
30017,30120,10025,2020-07-02 00:00:00.0,,5400,2016-03-31 00:00:00.0,10143,Basmus Gripenskiöld,Basmus Gripenskiöld,9,009
30018,30017,10026,2018-07-05 00:00:00.0,,5500,2018-07-05 00:00:00.0,10025,Kick Kalkman,Kick Kalkman,9,009
30019,30022,10027,2015-12-09 00:00:00.0,,5600,2015-12-09 00:00:00.0,10030,Karin Bergström,Karin Bergström,15,015
30042,30034,10062,2012-08-17 00:00:00.0,,5800,2012-08-17 00:00:00.0,10054,Alan Wilcox,Alan Wilcox,19,1810
30043,30360,10063,2016-04-16 00:00:00.0,,3300,2016-04-16 00:00:00.0,10383,Serge Pettigrew,Serge Pettigrew,22,1760
30044,30226,10064,2014-06-26 00:00:00.0,,2000,2014-06-26 00:00:00.0,10249,Emma Sommer,Emma Sommer,22,1740
30882,30637,10065,2015-01-22 00:00:00.0,2019-02-16 00:00:00.0,5400,2015-01-22 00:00:00.0,10671,Nicole Steinberg,Nicole Steinberg,21,021
30045,30051,10065,2019-02-17 00:00:00.0,,5400,2015-01-22 00:00:00.0,10071,Estelle Johnson,Estelle Johnson,21,021
30046,30052,10066,2011-02-12 00:00:00.0,,4600,2011-02-12 00:00:00.0,10072,Greg Belding,Greg Belding,21,1810
30767,30074,10067,2017-03-03 00:00:00.0,2019-03-02 00:00:00.0,4200,2017-03-03 00:00:00.0,10097,Viviam Barros,Viviam Barros,21,1750
30047,30343,10067,2019-03-03 00:00:00.0,,4100,2019-03-03 00:00:00.0,10366,Dale Thomas,Dale Thomas,21,1750
30048,30045,10068,2017-12-22 00:00:00.0,,5600,2017-12-22 00:00:00.0,10065,Corey Wright,Corey Wright,21,021
30049,30033,10069,2013-10-27 00:00:00.0,,5700,2013-10-27 00:00:00.0,10053,Alex Rodriguez,Alex Rodriguez,19,019
